Year,Month,Feeder,Earth_Fault,Over_Current,Planned,Emergency,Total,L_G_Fault,L_L_Fault,L_L_G_Fault,LLL_LLLG_Fault,Open_Circuits,Insulation_Failure,Fault_Location_km,Fault_Duration_s,Weather_Factor
2017,July,Uzebba,27,5,2,0,36,22,2,2,0,1,5,5,0.2,0.9
2017,August,Agbor,18,4,2,0,29,14,2,2,0,3,3,40.1,0.1,0.8
2017,August,Agenebode,20,6,2,0,29,16,3,3,0,0,4,10.6,0.3,0.8
2017,August,Ehor,21,11,1,1,36,17,5,5,1,0,4,28,0.1,0.7
2017,August,Ubiaja,25,0,2,2,31,20,0,0,2,1,5,28.5,3600,0.9
2017,August,Uzebba,22,7,1,0,32,18,3,3,0,0,4,44.6,3600,0.9
2017,September,Agbor,21,4,2,5,33,17,2,2,4,0,4,10.9,0.5,0.7
2017,September,Agenebode,25,5,2,2,38,20,2,2,2,2,5,19.2,0.3,0.9
2017,September,Ehor,7,7,2,0,18,6,3,3,0,0,1,42.1,3600,0.8
2017,September,Ubiaja,21,3,1,0,28,16,1,1,0,2,4,36.6,3600,0.8
2017,September,Uzebba,19,5,2,2,29,15,2,2,2,0,4,5.8,0.3,0.9
2017,October,Agbor,12,11,2,4,31,9,5,5,3,1,2,47,0.5,0.2
2017,October,Agenebode,32,6,2,3,43,25,3,3,3,0,6,5.5,0.2,0.2
2017,October,Ehor,28,7,1,0,38,22,3,3,0,1,5,37.9,0.5,0.2
2017,October,Ubiaja,7,1,1,0,11,5,0,0,0,0,1,16.5,7200,0.2
2017,October,Uzebba,19,5,1,2,31,15,2,2,1,2,4,43.4,0.5,0.2
2017,November,Agbor,27,9,1,3,41,21,4,4,3,1,5,4.2,0.2,0.2
2017,November,Agenebode,17,5,2,1,29,14,2,2,1,2,3,3.4,0.3,0.2
2017,November,Ehor,14,2,2,2,22,11,1,1,2,0,3,42.7,0.3,0.2
2017,November,Ubiaja,14,1,2,1,19,11,0,0,1,0,3,43.2,0.3,0.2
2017,November,Uzebba,33,5,2,2,45,26,2,2,2,1,6,11.3,0.1,0.2
2017,December,Agbor,23,13,1,2,40,18,6,6,1,0,4,4.4,0.2,0.2
2017,December,Agenebode,2,4,1,2,12,2,2,2,2,1,0,46.8,7200,0.2
2017,December,Ehor,23,9,2,0,34,18,4,4,0,0,4,48.8,0.2,0.2
2017,December,Ubiaja,9,10,1,1,22,7,5,5,1,0,2,48,0.3,0.2
2017,December,Uzebba,23,6,2,2,36,18,3,3,2,2,4,36.7,0.1,0.2
2018,January,Agbor,12,8,1,2,26,10,4,4,2,1,2,11.7,3600,0.2
2018,January,Agenebode,15,2,2,6,26,12,1,1,5,0,3,26.6,7200,0.2
2018,January,Ehor,10,2,1,0,16,8,1,1,0,1,2,26.6,0.1,0.2
2018,January,Ubiaja,10,3,2,2,21,8,1,1,2,2,2,32.6,0.1,0.2
2018,January,Uzebba,19,12,2,3,39,15,6,6,2,2,4,29.8,0.3,0.2
2018,February,Agbor,18,5,2,5,31,15,2,2,4,0,4,46.4,0.1,0.2
2018,February,Agenebode,26,4,2,4,37,21,2,2,3,0,5,14.8,0.5,0.2
2018,February,Ehor,23,2,2,2,30,18,1,1,2,0,4,42,7200,0.2
2018,February,Ubiaja,9,5,1,1,19,7,2,2,1,1,1,15.6,0.2,0.2
2018,February,Uzebba,11,2,2,0,18,8,1,1,0,3,2,28.9,0.2,0.2
2018,March,Agbor,6,1,1,0,11,5,0,0,0,2,1,22.8,0.1,0.2
2018,March,Agenebode,15,8,2,3,31,12,4,4,3,1,3,26,0.5,0.2
2018,March,Ehor,12,4,1,2,23,10,2,2,2,3,2,39.3,0.3,0.2
2018,March,Ubiaja,18,6,1,0,29,15,3,3,0,2,3,43.1,7200,0.2
2018,March,Uzebba,16,5,2,1,27,13,2,2,1,2,3,0,0.1,0.2
2018,April,Agbor,22,4,1,1,33,17,2,2,1,4,4,21.3,0.1,0.2
2018,April,Agenebode,22,1,2,1,29,18,0,0,1,1,4,30.9,0.2,0.2
2018,April,Ehor,19,4,2,1,28,15,2,2,1,1,4,47.8,0.5,0.2
2018,April,Ubiaja,5,2,1,2,13,4,1,1,2,1,1,49.4,0.3,0.2
2018,April,Uzebba,28,2,2,1,35,23,1,1,1,0,5,38.2,0.2,0.2
2018,May,Agbor,32,8,2,0,47,25,4,4,0,2,6,7.8,0.1,0.2
2018,May,Agenebode,8,8,2,2,25,6,4,4,2,4,1,46.9,0.1,0.2
2018,May,Ehor,17,11,1,3,34,13,5,5,2,2,3,9.7,3600,0.2
2018,May,Ubiaja,19,7,2,1,34,15,3,3,1,3,4,44.3,0.3,0.2
2018,May,Uzebba,11,7,2,0,24,9,3,3,0,1,2,16.1,0.5,0.2
2018,June,Agbor,10,6,2,4,27,8,3,3,4,2,2,9.2,0.2,0.9
2018,June,Agenebode,17,4,1,1,26,14,2,2,1,1,3,14.1,0.1,0.9
2018,June,Ehor,15,0,2,1,20,12,0,0,1,1,3,28,7200,0.8
2018,June,Ubiaja,9,3,1,1,17,7,1,1,1,2,2,20.2,0.3,0.8
2018,June,Uzebba,26,7,2,0,37,21,3,3,0,1,5,8.2,0.2,0.7
2018,July,Agbor,22,5,1,0,30,17,2,2,0,1,4,22.6,0.2,0.8
2018,July,Agenebode,11,1,2,1,18,9,0,0,1,1,2,9.2,3600,0.8
2018,July,Ehor,29,6,2,1,39,23,3,3,1,0,5,41.1,0.2,0.8
2018,July,Ubiaja,11,7,2,0,23,9,3,3,0,1,2,17.4,0.3,0.8
2018,July,Uzebba,16,8,2,0,29,13,4,4,0,2,3,3.9,0.2,0.8
2018,August,Agbor,17,7,2,1,29,14,3,3,1,0,3,37,7200,0.8
2018,August,Agenebode,18,4,1,1,26,14,2,2,1,1,3,11.3,0.5,0.7
2018,August,Ehor,17,9,1,0,32,14,4,4,0,4,3,21.7,0.5,0.7
2018,August,Ubiaja,23,2,2,3,32,18,1,1,3,0,5,44.6,0.1,0.8
2018,August,Uzebba,24,7,1,2,35,19,3,3,2,0,5,28.6,0.3,0.8
2018,September,Agbor,13,7,1,2,29,10,3,3,2,4,2,35.9,3600,0.9
2018,September,Agenebode,18,9,2,0,35,14,4,4,0,4,3,0.6,0.3,0.8
2018,September,Ehor,13,9,1,1,25,11,4,4,0,0,2,44.5,0.1,0.8
2018,September,Ubiaja,12,3,2,0,19,10,1,1,0,1,2,18.2,0.2,0.9
2018,September,Uzebba,20,2,2,1,27,16,1,1,1,0,4,41.8,0.2,0.8
2018,October,Agbor,9,3,1,2,17,7,1,1,1,0,2,13.5,86400,0.2
2018,October,Agenebode,15,9,1,3,31,12,4,4,3,1,3,1.9,0.5,0.2
2018,October,Ehor,22,1,2,0,29,17,0,0,0,3,4,43.3,86400,0.2
2018,October,Ubiaja,14,6,1,0,22,11,3,3,0,0,2,48.6,0.2,0.2
2018,October,Uzebba,30,12,1,0,48,24,6,6,0,4,6,3.9,0.3,0.2
2018,November,Agbor,13,5,1,2,23,11,2,2,2,0,3,43.2,0.3,0.2
2018,November,Agenebode,14,3,1,0,19,11,1,1,0,1,2,34.1,0.2,0.2
2018,November,Ehor,22,8,2,0,33,18,4,4,0,0,4,39.2,0.5,0.2
2018,November,Ubiaja,15,7,2,4,30,12,3,3,3,0,3,19.4,0.5,0.2
2018,November,Uzebba,24,5,2,0,33,19,2,2,0,1,4,31.7,0.5,0.2
2018,December,Agbor,11,7,2,1,23,9,3,3,1,1,2,13.4,3600,0.2
2018,December,Agenebode,16,2,1,2,22,12,1,1,2,0,3,11,0.1,0.2
2018,December,Ehor,15,7,2,2,30,12,3,3,2,2,3,39,0.3,0.2
2018,December,Ubiaja,12,1,2,3,22,10,0,0,3,2,2,13.8,86400,0.2
2018,December,Uzebba,14,7,2,1,26,11,3,3,1,2,2,12.1,0.3,0.2
2019,January,Agbor,23,2,1,3,32,18,1,1,2,2,4,31.8,0.3,0.2
2019,January,Agenebode,18,2,1,5,29,14,1,1,4,2,4,8.1,0.3,0.2
2019,January,Ehor,25,5,1,0,32,20,2,2,0,0,5,45.1,0.1,0.3
2019,January,Ubiaja,8,0,2,1,12,6,0,0,1,0,1,9.6,7200,0.2
2019,January,Uzebba,11,8,1,4,25,9,4,4,3,0,2,12.8,0.2,0.2
2019,February,Agbor,20,6,2,1,32,16,3,3,1,1,4,6.4,0.5,0.2
2019,February,Agenebode,14,0,1,1,20,11,0,0,1,2,3,44.8,3600,0.2
2019,February,Ehor,9,7,1,0,19,7,3,3,0,1,1,38,0.1,0.2
2019,February,Ubiaja,16,9,1,1,31,13,4,4,1,2,3,24.1,0.3,0.2
2019,February,Uzebba,20,1,2,0,25,16,0,0,0,1,4,14.5,3600,0.2
2019,March,Agbor,22,2,1,0,27,18,1,1,0,1,4,43.9,0.5,0.2
2019,March,Agenebode,6,6,2,0,17,5,3,3,0,1,1,3.4,0.3,0.2
2019,March,Ehor,16,8,2,0,28,13,4,4,0,1,3,21.5,0.5,0.2
2019,March,Ubiaja,14,10,1,1,29,11,5,5,0,3,3,12.7,0.3,0.2
2019,March,Uzebba,28,3,2,2,38,22,1,1,2,2,5,49.8,0.2,0.2
2019,April,Agbor,23,2,2,0,34,18,1,1,0,6,4,36.9,0.3,0.2
2019,April,Agenebode,11,9,2,2,29,9,4,4,2,3,2,29.5,0.3,0.2
2019,April,Ehor,14,6,2,4,28,11,3,3,3,1,3,26.8,0.2,0.2
2019,April,Ubiaja,9,9,1,0,22,7,4,4,0,3,1,23.1,0.3,0.2
2019,April,Uzebba,17,11,1,0,30,14,5,5,0,0,3,30.4,0.2,0.2
2019,May,Agbor,6,7,1,2,18,4,3,3,1,2,1,49,0.3,0.2
2019,May,Agenebode,20,12,2,3,41,16,6,6,3,3,4,45.1,0.2,0.2
2019,May,Ehor,15,8,1,1,30,12,4,4,1,3,3,31.6,0.1,0.2
2019,May,Ubiaja,22,4,1,0,27,17,2,2,0,0,4,45.4,0.5,0.2
2019,May,Uzebba,21,6,1,1,34,17,3,3,0,4,4,6.7,0.3,0.2
2019,June,Agbor,16,8,1,2,30,13,4,4,2,2,3,1.9,0.5,0.7
2019,June,Agenebode,15,8,2,6,33,12,4,4,5,0,3,48.1,3600,0.8
2019,June,Ehor,21,3,1,3,33,17,1,1,2,4,4,46.4,7200,0.7
2019,June,Ubiaja,14,3,2,2,22,11,1,1,1,0,3,32.2,86400,0.8
2019,June,Uzebba,15,3,2,1,22,12,1,1,1,0,3,46.1,0.3,0.8
2019,July,Agbor,15,8,1,1,30,12,4,4,1,3,3,17.4,0.3,0.9
2019,July,Agenebode,21,7,1,0,32,17,3,3,0,1,4,12.8,0.2,0.8
2019,July,Ehor,24,2,2,4,34,19,1,1,4,0,5,0.2,0.1,0.8
2019,July,Ubiaja,21,3,2,0,30,16,1,1,0,2,4,18.1,3600,0.8
2019,July,Uzebba,24,2,1,2,30,19,1,1,1,0,5,42.7,0.1,0.8
2019,August,Agbor,21,14,1,3,43,17,7,7,2,2,4,4.7,0.3,0.8
2019,August,Agenebode,23,4,2,6,36,18,2,2,5,0,5,32.3,0.2,0.8
2019,August,Ehor,31,12,1,2,47,24,6,6,2,0,6,33.9,0.3,0.9
2019,August,Ubiaja,21,5,1,2,32,17,2,2,1,1,4,14.8,0.5,0.8
2019,August,Uzebba,27,3,2,0,35,21,1,1,0,1,5,46.8,0.1,0.8
2019,September,Agbor,11,4,2,0,22,9,2,2,0,3,2,35.9,3600,0.9
2019,September,Agenebode,13,4,1,1,22,10,2,2,1,1,2,45.1,0.2,0.7
2019,September,Ehor,29,5,1,0,37,23,2,2,0,0,6,29.3,0.2,0.8
2019,September,Ubiaja,17,8,1,1,28,13,4,4,1,0,3,22.9,0.2,0.8
2019,September,Uzebba,13,9,1,2,29,10,4,4,2,2,2,10.2,0.1,0.8
2019,October,Agbor,17,8,1,0,29,14,4,4,0,1,3,40.7,0.5,0.2
2019,October,Agenebode,15,3,1,0,20,12,1,1,0,0,3,15.9,86400,0.2
2019,October,Ehor,19,2,2,0,27,15,1,1,0,3,3,12.6,3600,0.2
2019,October,Ubiaja,16,0,1,2,22,13,0,0,2,2,3,19.1,0.5,0.2
2019,October,Uzebba,18,1,2,2,25,14,0,0,2,0,3,44.9,0.1,0.2
2019,November,Agbor,12,4,2,0,19,9,2,2,0,0,2,42.9,0.5,0.2
2019,November,Agenebode,18,6,2,4,35,15,3,3,3,3,4,46.5,0.1,0.2
2019,November,Ehor,21,3,1,0,28,17,1,1,0,2,4,20.4,0.1,0.2
2019,November,Ubiaja,13,6,1,3,24,10,3,3,3,0,3,33.6,0.2,0.2
2019,November,Uzebba,20,7,2,0,29,16,3,3,0,0,4,5,0.5,0.2
2019,December,Agbor,18,4,1,2,30,14,2,2,2,3,4,11.3,0.5,0.2
2019,December,Agenebode,11,5,1,1,19,9,2,2,0,0,2,31.1,3600,0.2
2019,December,Ehor,27,9,1,0,39,22,4,4,0,1,5,26.3,0.5,0.2
2019,December,Ubiaja,15,0,1,0,17,12,0,0,0,0,3,22.1,0.1,0.2
2019,December,Uzebba,25,5,2,1,34,20,2,2,1,0,5,12.7,0.1,0.2
2020,January,Agbor,19,7,1,0,28,15,3,3,0,0,3,3.3,3600,0.2
2020,January,Agenebode,17,9,1,2,30,13,4,4,2,0,3,30.9,3600,0.2
2020,January,Ehor,25,1,2,0,31,20,0,0,0,1,5,20,0.3,0.2
2020,January,Ubiaja,18,12,1,0,34,14,6,6,0,1,3,25.3,0.1,0.2
2020,January,Uzebba,15,5,1,1,24,12,2,2,1,0,3,5.6,3600,0.2
2020,February,Agbor,17,2,2,0,23,14,1,1,0,1,3,7.6,0.3,0.2
2020,February,Agenebode,24,7,2,2,40,19,3,3,2,2,5,44.8,0.1,0.2
2020,February,Ehor,22,2,2,0,28,17,1,1,0,1,4,2.4,3600,0.2
2020,February,Ubiaja,22,7,1,1,35,18,3,3,1,2,4,27.1,0.2,0.2
2020,February,Uzebba,13,8,1,5,29,10,4,4,5,1,3,2.3,7200,0.2
2020,March,Agbor,16,7,2,2,29,13,3,3,1,1,3,1.1,86400,0.2
2020,March,Agenebode,13,1,1,1,17,10,0,0,1,1,2,41.5,0.2,0.2
2020,March,Ehor,15,10,1,1,31,12,5,5,1,3,3,36.5,0.3,0.2
2020,March,Ubiaja,12,3,1,1,20,9,1,1,1,1,2,28.2,0.2,0.2
2020,March,Uzebba,24,5,1,0,31,19,2,2,0,0,4,4.6,0.2,0.2
2020,April,Agbor,16,7,1,2,27,13,3,3,2,0,3,27.8,0.3,0.2
2020,April,Agenebode,18,1,1,1,24,14,0,0,1,2,3,44.3,3600,0.2
2020,April,Ehor,19,1,1,0,23,15,0,0,0,1,3,48.8,0.5,0.2
2020,April,Ubiaja,23,6,1,1,33,19,3,3,1,0,4,19.9,0.1,0.2
2020,April,Uzebba,24,4,2,0,31,19,2,2,0,1,4,15.1,3600,0.2
2020,May,Agbor,24,5,1,0,32,19,2,2,0,0,4,47.2,3600,0.2
2020,May,Agenebode,17,8,2,0,30,13,4,4,0,2,3,41.5,0.5,0.2
2020,May,Ehor,17,8,2,2,32,14,4,4,2,1,3,48.9,0.3,0.2
2020,May,Ubiaja,3,0,2,1,9,2,0,0,0,2,0,9.8,3600,0.2
2020,May,Uzebba,14,7,2,2,29,11,3,3,2,3,3,36.6,3600,0.2
2020,June,Agbor,24,6,2,0,35,19,3,3,0,2,4,25.4,3600,0.8
2020,June,Agenebode,24,12,2,1,40,19,6,6,1,1,4,11.2,0.2,0.8
2020,June,Ehor,19,9,1,0,32,15,4,4,0,1,3,46.7,7200,0.8
2020,June,Ubiaja,6,1,1,2,13,5,0,0,1,2,1,9.3,86400,0.7
2020,June,Uzebba,9,12,2,2,26,7,6,6,1,0,2,7.4,0.3,0.9
2020,July,Agbor,20,6,2,0,29,16,3,3,0,0,4,20.6,0.1,0.9
2020,July,Agenebode,22,0,1,0,25,18,0,0,0,1,4,8.1,86400,0.8
2020,July,Ehor,19,6,1,0,28,15,3,3,0,1,3,15.7,0.3,0.8
2020,July,Ubiaja,6,1,2,2,17,5,0,0,2,4,1,42.3,0.2,0.8
2020,July,Uzebba,7,9,1,0,19,6,4,4,0,0,1,30.7,3600,1
2020,August,Agbor,22,0,1,0,30,18,0,0,0,5,4,3.4,3600,0.7
2020,August,Agenebode,14,9,1,3,32,11,4,4,3,3,3,36.9,0.2,0.9
2020,August,Ehor,10,7,1,4,23,8,3,3,3,0,2,30.1,0.3,0.9
2020,August,Ubiaja,8,2,2,2,17,6,1,1,2,2,1,42.6,0.1,0.8
2020,August,Uzebba,8,6,2,0,18,7,3,3,0,1,1,38.4,0.1,0.7
2020,September,Agbor,18,2,2,2,27,14,1,1,2,1,4,49.7,3600,0.9
2020,September,Agenebode,26,4,1,3,37,21,2,2,2,1,5,0.8,86400,0.8
2020,September,Ehor,18,8,2,3,33,15,4,4,3,0,4,18.6,0.2,0.8
2020,September,Ubiaja,11,1,2,2,21,9,0,0,1,3,2,16.6,0.5,0.8
2020,September,Uzebba,14,7,2,2,28,11,3,3,2,2,3,12.1,0.2,0.7
2020,October,Agbor,14,6,1,0,23,11,3,3,0,2,2,21,0.3,0.2
2020,October,Agenebode,31,8,1,0,41,25,4,4,0,0,6,3.1,3600,0.2
2020,October,Ehor,12,6,2,1,22,9,3,3,1,0,2,35.5,86400,0.2
2020,October,Ubiaja,2,2,1,0,7,1,1,1,0,0,0,28.1,0.1,0.2
2020,October,Uzebba,23,7,1,0,33,19,3,3,0,0,4,49.9,0.1,0.2
2020,November,Agbor,18,1,1,3,27,14,0,0,2,3,3,47.1,0.5,0.2
2020,November,Agenebode,20,4,1,3,29,16,2,2,3,0,4,21.6,0.5,0.2
2020,November,Ehor,11,6,2,1,21,9,3,3,1,0,2,35.3,0.5,0.2
2020,November,Ubiaja,16,6,2,3,31,12,3,3,3,3,3,13.7,0.5,0.2
2020,November,Uzebba,3,1,2,2,10,2,0,0,2,0,0,42.5,0.2,0.2
2020,December,Agbor,14,3,1,0,21,11,1,1,0,0,3,35.2,0.2,0.2
2020,December,Agenebode,14,4,2,0,22,11,2,2,0,1,2,49.6,0.5,0.2
2020,December,Ehor,22,9,2,2,37,18,4,4,2,0,4,29,3600,0.2
2020,December,Ubiaja,12,3,2,2,20,9,1,1,2,0,2,8.2,0.2,0.2
2020,December,Uzebba,29,0,2,1,34,23,0,0,1,0,6,27.3,0.1,0.2
2021,January,Agbor,3,10,1,2,18,2,5,5,1,1,0,28.6,7200,0.2
2021,January,Agenebode,18,6,1,0,31,15,3,3,0,4,3,35.1,0.3,0.2
2021,January,Ehor,13,5,2,2,24,10,2,2,2,0,2,0.6,0.1,0.2
2021,January,Ubiaja,20,7,2,0,33,16,3,3,0,2,4,17.1,0.3,0.2
2021,January,Uzebba,18,2,2,0,25,14,1,1,0,3,3,41.9,0.5,0.2
2021,February,Agbor,22,7,2,2,35,17,3,3,2,1,4,47.9,0.1,0.2
2021,February,Agenebode,16,6,2,0,27,13,3,3,0,2,3,41.6,0.3,0.2
2021,February,Ehor,23,5,2,0,31,19,2,2,0,0,4,39.8,0.1,0.2
2021,February,Ubiaja,7,8,1,0,16,5,4,4,0,0,1,0.3,0.3,0.2
2021,February,Uzebba,16,6,2,1,28,13,3,3,1,1,3,45.6,0.5,0.2
2021,March,Agbor,26,3,1,1,33,21,1,1,1,0,5,4.2,0.5,0.2
2021,March,Agenebode,21,1,2,0,27,17,0,0,0,3,4,24.8,3600,0.2
2021,March,Ehor,14,9,1,3,28,11,4,4,3,0,3,31.3,0.1,0.2
2021,March,Ubiaja,17,2,2,1,23,13,1,1,1,0,3,22.8,0.3,0.2
2021,March,Uzebba,18,7,2,0,29,14,3,3,0,1,3,45.6,0.5,0.1
2021,April,Agbor,13,5,2,1,24,10,2,2,1,2,2,31.6,0.3,0.2
2021,April,Agenebode,13,5,2,0,24,11,2,2,0,2,2,15.3,86400,0.2
2021,April,Ehor,11,5,1,2,20,9,2,2,1,0,2,0.4,0.5,0.2
2021,April,Ubiaja,19,1,1,1,23,15,0,0,0,0,4,4,0.5,0.2
2021,April,Uzebba,20,1,1,3,26,16,0,0,2,1,4,33.3,3600,0.2
2021,May,Agbor,17,6,1,1,27,14,3,3,1,1,3,1.6,0.1,0.2
2021,May,Agenebode,15,5,2,1,24,12,2,2,0,0,3,39.4,0.2,0.2
2021,May,Ehor,23,5,2,0,32,18,2,2,0,0,4,29.2,0.5,0.2
2021,May,Ubiaja,9,9,2,1,23,7,4,4,1,0,2,22.4,86400,0.2
2021,May,Uzebba,16,0,1,1,22,13,0,0,1,3,3,34.2,0.1,0.2
2021,June,Agbor,19,7,1,3,32,15,3,3,3,1,4,5.7,0.1,0.8
2021,June,Agenebode,19,4,1,2,30,15,2,2,1,3,4,37.8,0.1,0.8
2021,June,Ehor,20,10,2,1,34,16,5,5,1,0,4,41.8,0.3,0.8
2021,June,Ubiaja,12,2,2,0,16,9,1,1,0,0,2,5,0.1,0.7
2021,June,Uzebba,28,2,2,0,35,22,1,1,0,1,5,24.8,0.1,0.8
2021,July,Agbor,19,6,2,1,31,15,3,3,1,1,4,25.1,0.2,0.7
2021,July,Agenebode,10,5,1,0,17,8,2,2,0,0,2,31,0.5,0.6
2021,July,Ehor,24,8,1,4,40,19,4,4,3,2,5,19.2,0.3,0.7
2021,July,Ubiaja,12,5,2,1,22,9,2,2,1,0,2,26.2,0.5,0.9
2021,July,Uzebba,16,3,1,0,21,13,1,1,0,0,3,34.1,3600,0.7
2021,August,Agbor,14,8,2,0,26,11,4,4,0,1,2,28.5,7200,0.8
2021,August,Agenebode,17,6,1,0,25,13,3,3,0,0,3,30.3,0.5,0.9
2021,August,Ehor,10,9,2,1,24,8,4,4,1,1,2,44.1,0.2,0.9
2021,August,Ubiaja,17,4,2,0,28,14,2,2,0,3,3,44.4,0.1,0.9
2021,August,Uzebba,5,3,2,1,13,4,1,1,1,0,1,1.1,0.5,0.8
2021,September,Agbor,22,7,2,6,40,18,3,3,5,2,5,32.5,0.5,0.9
2021,September,Agenebode,31,7,2,2,44,25,3,3,2,0,6,11.1,0.5,0.8
2021,September,Ehor,13,6,2,1,24,11,3,3,1,0,2,26.9,0.5,0.8
2021,September,Ubiaja,32,3,1,1,38,25,1,1,1,0,6,44.4,0.3,0.7
2021,September,Uzebba,20,0,2,0,23,16,0,0,0,0,4,14.3,0.3,0.8
2021,October,Agbor,22,2,2,3,32,18,1,1,2,2,4,44.1,7200,0.2
2021,October,Agenebode,18,7,2,3,34,14,3,3,2,3,3,26,0.3,0.2
2021,October,Ehor,12,7,2,0,23,10,3,3,0,1,2,27.8,0.5,0.2
2021,October,Ubiaja,14,8,2,2,27,11,4,4,2,0,3,24.9,0.2,0.2
2021,October,Uzebba,28,5,2,2,41,22,2,2,2,2,5,6.5,0.2,0.2
2021,November,Agbor,23,9,1,2,38,18,4,4,2,1,4,14.2,0.3,0.2
2021,November,Agenebode,26,1,2,3,34,21,0,0,3,1,5,20.8,0.1,0.2
2021,November,Ehor,21,3,1,0,29,17,1,1,0,1,4,44.4,0.3,0.2
2021,November,Ubiaja,15,12,2,0,32,12,6,6,0,1,3,8.2,0.2,0.2
2021,November,Uzebba,32,5,2,0,42,26,2,2,0,2,6,13.7,0.3,0.2
2021,December,Agbor,21,7,2,4,36,17,3,3,3,1,4,2.6,0.1,0.2
2021,December,Agenebode,21,8,2,3,36,17,4,4,3,0,4,5.3,0.5,0.2
2021,December,Ehor,13,10,2,2,29,10,5,5,2,1,2,19.6,0.1,0.2
2021,December,Ubiaja,7,5,2,2,17,6,2,2,1,0,1,46.8,0.1,0.2
2021,December,Uzebba,26,5,1,2,35,21,2,2,2,0,5,2.6,0.2,0.2
2022,January,Agbor,15,4,1,4,27,12,2,2,4,2,3,2.7,0.3,0.2
2022,January,Agenebode,15,2,2,0,21,12,1,1,0,0,3,22.3,0.1,0.2
2022,January,Ehor,31,9,2,1,46,25,4,4,1,1,6,8.4,0.2,0.2
2022,January,Ubiaja,14,3,1,3,22,11,1,1,2,0,3,33.4,7200,0.2
2022,January,Uzebba,19,4,2,2,28,15,2,2,2,0,4,1.8,7200,0.2
2022,February,Agbor,12,6,1,0,22,10,3,3,0,1,2,32.3,0.1,0.2
2022,February,Agenebode,26,4,1,1,34,21,2,2,1,1,5,19.4,0.2,0.2
2022,February,Ehor,36,3,1,0,43,28,1,1,0,2,7,6.4,0.2,0.2
2022,February,Ubiaja,9,2,2,3,16,7,1,1,2,0,2,39.4,0.2,0.2
